State,Family Income
District of Columbia,106700
Alabama,62400
Alaska,83700
Arizona,70200
Arkansas,57300
California,85300
Colorado,92500
Connecticut,98300
Delaware,77200
Florida,65800
Georgia,70800
Hawaii,93300
Idaho,72500
Illinois,86600
Indiana,71100
Iowa,77900
Kansas,75700
Kentucky,65100
Louisiana,61300
Maine,75600
Maryland,103600
Massachusetts,111800
Michigan,73700
Minnesota,97200
Mississippi,53100
Missouri,72100
Montana,71600
Nebraska,80300
Nevada,69300
New Hampshire,102400
New Jersey,108400
New Mexico,53400
New York,83600
North Carolina,68900
North Dakota,87600
Ohio,72100
Oklahoma,62200
Oregon,81200
Pennsylvania,80700
Rhode Island,82300
South Carolina,66700
South Dakota,75100
Tennessee,66400
Texas,72100
Utah,87300
Vermont,82200
Virginia,94500
Washington,91500
West Virginia,58500
Wisconsin,82000
Wyoming,80000
Puerto Rico,21500
